,Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,1hr Percent Change,2hr Percent Change,6hr Percent Change,12hr Percent Change,24hr Percent Change
0,2017-01-01 00:00:00,973.37,973.4,969.9,970.27,184.7,179446.94,971.53,0.0226741010234,-0.239108701702,-0.08451255836,0.442144969957,2.59824584909
1,2017-01-01 01:00:00,970.99,972.0,968.21,970.49,148.35,143994.88,970.62,-0.261723459283,-0.242145720203,-0.105101546641,0.77280549001,2.80476872508
2,2017-01-01 02:00:00,970.49,971.99,967.0,967.95,108.44,105157.34,969.76,0.019629113074,0.0154966682163,0.123973345731,1.24386590216,3.51774368511
3,2017-01-01 03:00:00,967.83,969.47,967.57,968.14,125.09,121121.48,968.24,-0.0041316338546,-0.126014832566,0.231371495858,1.22399652943,4.28553721569
4,2017-01-01 04:00:00,968.17,968.62,966.64,968.1,79.41,76852.45,967.77,-0.121888234687,0.13944840409,0.711703336432,2.75694659643,4.28881313914
5,2017-01-01 05:00:00,968.1,968.1,964.37,966.92,159.86,154418.02,965.93,0.261655566128,0.263723989575,0.83564307285,2.84408224052,3.79762544988
6,2017-01-01 06:00:00,966.92,969.63,964.54,969.45,68.55,66274.82,966.85,0.00206302542679,-0.0309453814018,0.527102996544,2.85419567796,4.14668110784
7,2017-01-01 07:00:00,969.45,970.56,968.54,969.47,82.88,80359.08,969.56,-0.0330077258708,0.0938657204452,0.878830701311,2.62514569816,4.41272035236
8,2017-01-01 08:00:00,969.04,969.58,968.11,969.15,89.59,86806.79,968.89,0.126915338183,0.602589898365,1.11850590724,3.18320177475,4.4244956921
9,2017-01-01 09:00:00,969.16,970.68,968.6,970.38,52.62,51033.34,969.88,0.475071621427,0.476102145551,0.990333683712,2.76592675035,4.59819864383
10,2017-01-01 10:00:00,970.36,974.99,969.79,974.99,100.24,97512.33,972.78,0.00102565154514,-0.0441030164412,2.03079005939,2.36002420538,4.18465830419
11,2017-01-01 11:00:00,974.98,975.0,974.98,975.0,53.65,52312.16,974.99,-0.0451282051282,0.306666666667,1.99179487179,1.84102564103,5.11179487179
12,2017-01-01 12:00:00,975.0,975.0,974.01,974.56,52.0,50690.33,974.87,0.351953702184,0.557174519783,2.31489082253,2.14660975209,5.17464291578
13,2017-01-01 13:00:00,974.37,977.99,974.31,977.99,124.68,121826.46,977.09,0.204501068518,0.204501068518,1.73110154501,2.01638053559,4.10740396119
14,2017-01-01 14:00:00,977.98,979.99,977.58,979.99,100.94,98814.26,978.9,0.0,1.51021949204,2.04185756998,2.24594128512,4.5224951275
15,2017-01-01 15:00:00,979.99,979.99,979.01,979.99,110.61,108386.65,979.91,1.51021949204,1.47246400473,1.75818120593,3.02452065837,4.79494688721
16,2017-01-01 16:00:00,979.98,994.97,977.63,994.79,545.22,537096.53,985.11,-0.0371937795917,0.234220287699,0.32268116889,1.49076689553,3.5344142985
17,2017-01-01 17:00:00,994.8,994.8,993.0,994.42,366.59,364470.79,994.21,0.271515054001,0.0502805655558,-0.147824862734,0.927173628849,2.76140866032
18,2017-01-01 18:00:00,994.49,999.68,994.49,997.12,347.57,346404.86,996.66,-0.220635430039,0.288831835687,-0.164473684211,1.2566190629,2.13514922978
19,2017-01-01 19:00:00,997.11,997.11,993.7,994.92,271.66,270432.62,995.49,0.510593816588,0.231174365778,0.280424556748,1.74184859084,0.612109516343
20,2017-01-01 20:00:00,994.61,1000.0,993.76,1000.0,306.4,305973.95,998.59,-0.278,-0.2,0.2,1.203,1.298
21,2017-01-01 21:00:00,1000.0,1000.0,992.04,997.22,435.75,435234.01,998.8,0.0782174444957,-0.428190369226,1.24445959768,1.7829566194,1.50217604942
22,2017-01-01 22:00:00,997.22,998.0,990.0,998.0,295.22,293567.06,994.41,-0.506012024048,-0.25250501002,1.16432865731,1.78256513026,1.58316633267
23,2017-01-01 23:00:00,998.0,998.99,986.86,992.95,211.45,210535.45,995.66,0.254796314014,0.479379626366,1.07658995921,3.21164207664,1.86313510247
24,2017-01-02 00:00:00,992.96,997.99,992.86,995.48,250.64,249754.07,996.47,0.224012536666,0.654960421103,1.42343392132,2.96439908386,2.53746936151
25,2017-01-02 01:00:00,996.17,997.71,990.52,997.71,213.41,212269.32,994.65,0.429984664883,1.19473594531,1.45733730242,2.0496937988,2.13488889557
26,2017-01-02 02:00:00,997.7,1002.0,997.39,1002.0,253.79,253465.75,998.74,0.761477045908,0.760479041916,1.00099800399,2.22654690619,2.09281437126
27,2017-01-02 03:00:00,1002.0,1011.78,1000.01,1009.63,437.37,440522.54,1007.2,-0.000990461852361,-0.593286649565,0.531878014718,1.71845131385,1.43220783852
28,2017-01-02 04:00:00,1009.63,1010.7,1005.43,1009.62,191.69,193284.16,1008.3,-0.592302054238,0.00297141498781,0.611121015828,2.01362889008,1.26186089816
29,2017-01-02 05:00:00,1009.2,1012.0,1000.0,1003.64,340.48,342607.79,1006.23,0.598820294129,0.857877326531,2.11231118728,1.81738471962,1.51050177354
30,2017-01-02 06:00:00,1002.94,1010.99,1002.92,1009.65,190.5,191918.22,1007.46,0.257514980439,0.235725251325,1.51933838459,0.867627395632,0.347645223592
31,2017-01-02 07:00:00,1009.8,1012.25,1007.35,1012.25,183.96,185902.27,1010.58,-0.0217337614226,0.271672017782,0.58384786367,-1.11039762904,0.703383551494
32,2017-01-02 08:00:00,1012.01,1013.0,1009.33,1012.03,108.59,109815.72,1011.26,0.293469561179,0.371530488227,1.21340276474,0.0938707350573,-0.000988113000602
33,2017-01-02 09:00:00,1012.03,1015.0,1005.7,1015.0,122.59,124076.83,1012.14,0.0778325123153,0.969458128079,1.1802955665,-0.275862068966,-0.397044334975
34,2017-01-02 10:00:00,1015.0,1019.1,1010.65,1015.79,198.69,201681.74,1015.06,0.890932180864,0.905699012591,1.39398891503,-0.195906634245,-0.0836787131198
35,2017-01-02 11:00:00,1015.52,1024.95,1015.43,1024.84,150.77,153955.51,1021.13,0.0146364310527,-0.651809062878,-0.288825572772,-1.30654541197,-0.489832559229
