Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,Percent Change
2017-01-01 00:00:00,973.37,973.4,969.9,970.27,184.7,179446.94,971.53,0.0
2017-01-01 01:00:00,970.99,972.0,968.21,970.49,148.35,143994.88,970.62,0.02267410102342928
2017-01-01 02:00:00,970.49,971.99,967.0,967.95,108.44,105157.34,969.76,-0.26172345928345103
2017-01-01 03:00:00,967.83,969.47,967.57,968.14,125.09,121121.48,968.24,0.01962911307401631
2017-01-01 04:00:00,968.17,968.62,966.64,968.1,79.41,76852.45,967.77,-0.004131633854604046
2017-01-01 05:00:00,968.1,968.1,964.37,966.92,159.86,154418.02,965.93,-0.12188823468650589
2017-01-01 06:00:00,966.92,969.63,964.54,969.45,68.55,66274.82,966.85,0.26165556612750657
2017-01-01 07:00:00,969.45,970.56,968.54,969.47,82.88,80359.08,969.56,0.002063025426786509
2017-01-01 08:00:00,969.04,969.58,968.11,969.15,89.59,86806.79,968.89,-0.0330077258708418
2017-01-01 09:00:00,969.16,970.68,968.6,970.38,52.62,51033.34,969.88,0.1269153381829457
2017-01-01 10:00:00,970.36,974.99,969.79,974.99,100.24,97512.33,972.78,0.475071621426659
2017-01-01 11:00:00,974.98,975.0,974.98,975.0,53.65,52312.16,974.99,0.00102565154514312
2017-01-01 12:00:00,975.0,975.0,974.01,974.56,52.0,50690.33,974.87,-0.045128205128210724
2017-01-01 13:00:00,974.37,977.99,974.31,977.99,124.68,121826.46,977.09,0.35195370218355604
2017-01-01 14:00:00,977.98,979.99,977.58,979.99,100.94,98814.26,978.9,0.204501068518083
2017-01-01 15:00:00,979.99,979.99,979.01,979.99,110.61,108386.65,979.91,0.0
2017-01-01 16:00:00,979.98,994.97,977.63,994.79,545.22,537096.53,985.11,1.5102194920356284
2017-01-01 17:00:00,994.8,994.8,993.0,994.42,366.59,364470.79,994.21,-0.037193779591673075
2017-01-01 18:00:00,994.49,999.68,994.49,997.12,347.57,346404.86,996.66,0.271515054001332
2017-01-01 19:00:00,997.11,997.11,993.7,994.92,271.66,270432.62,995.49,-0.2206354300385155
2017-01-01 20:00:00,994.61,1000.0,993.76,1000.0,306.4,305973.95,998.59,0.5105938165882725
2017-01-01 21:00:00,1000.0,1000.0,992.04,997.22,435.75,435234.01,998.8,-0.27799999999999725
2017-01-01 22:00:00,997.22,998.0,990.0,998.0,295.22,293567.06,994.41,0.0782174444956953
2017-01-01 23:00:00,998.0,998.99,986.86,992.95,211.45,210535.45,995.66,-0.5060120240480916
2017-01-02 00:00:00,992.96,997.99,992.86,995.48,250.64,249754.07,996.47,0.2547963140137945
2017-01-02 01:00:00,996.17,997.71,990.52,997.71,213.41,212269.32,994.65,0.2240125366657309
2017-01-02 02:00:00,997.7,1002.0,997.39,1002.0,253.79,253465.75,998.74,0.42998466488257747
2017-01-02 03:00:00,1002.0,1011.78,1000.01,1009.63,437.37,440522.54,1007.2,0.7614770459081831
2017-01-02 04:00:00,1009.63,1010.7,1005.43,1009.62,191.69,193284.16,1008.3,-0.0009904618523608555
2017-01-02 05:00:00,1009.2,1012.0,1000.0,1003.64,340.48,342607.79,1006.23,-0.5923020542382301
2017-01-02 06:00:00,1002.94,1010.99,1002.92,1009.65,190.5,191918.22,1007.46,0.5988202941293682
2017-01-02 07:00:00,1009.8,1012.25,1007.35,1012.25,183.96,185902.27,1010.58,0.25751498043876814
2017-01-02 08:00:00,1012.01,1013.0,1009.33,1012.03,108.59,109815.72,1011.26,-0.02173376142257617
2017-01-02 09:00:00,1012.03,1015.0,1005.7,1015.0,122.59,124076.83,1012.14,0.2934695611790191
2017-01-02 10:00:00,1015.0,1019.1,1010.65,1015.79,198.69,201681.74,1015.06,0.07783251231526736
2017-01-02 11:00:00,1015.52,1024.95,1015.43,1024.84,150.77,153955.51,1021.13,0.8909321808641506
2017-01-02 12:00:00,1024.84,1025.0,1021.7,1024.99,114.4,117189.17,1024.42,0.014636431052660997
2017-01-02 13:00:00,1024.99,1025.0,1005.3,1018.16,229.19,233164.57,1017.36,-0.6663479643703881
2017-01-02 14:00:00,1018.0,1024.54,1011.34,1024.31,177.62,181024.38,1019.19,0.6040308006600119
2017-01-02 15:00:00,1024.31,1028.0,1015.05,1026.98,680.83,696591.15,1023.14,0.26066327576613263
2017-01-02 16:00:00,1026.98,1034.39,1023.2,1029.95,424.81,436991.33,1028.66,0.28919745272546954
2017-01-02 17:00:00,1029.76,1030.0,1015.81,1021.88,367.93,377065.16,1024.83,-0.7835331812223942
2017-01-02 18:00:00,1021.87,1029.0,1018.0,1018.41,323.72,331117.84,1022.86,-0.3395702039378427
2017-01-02 19:00:00,1018.26,1019.58,997.2,1001.01,906.53,914015.86,1008.25,-1.7085456741390967
2017-01-02 20:00:00,1001.02,1014.0,991.69,1012.98,957.64,958600.91,1001.0,1.1957922498276767
2017-01-02 21:00:00,1012.99,1017.79,1006.6,1012.2,313.22,317201.45,1012.71,-0.07700053308061094
2017-01-02 22:00:00,1012.2,1019.67,1011.31,1013.8,260.83,264796.47,1015.2,0.15807152736612418
2017-01-02 23:00:00,1015.05,1019.99,1011.45,1011.45,324.43,329463.37,1015.5,-0.2318011442098944
2017-01-03 00:00:00,1011.52,1023.3,1009.29,1020.74,309.19,314081.54,1015.8,0.9184833654654173
2017-01-03 01:00:00,1020.84,1022.99,1012.61,1019.01,243.25,247750.81,1018.51,-0.16948488351588242
2017-01-03 02:00:00,1019.05,1023.0,1012.9,1022.97,132.01,134312.43,1017.43,0.38861247681573646
2017-01-03 03:00:00,1022.97,1029.85,1016.65,1024.09,415.08,424266.6,1022.14,0.10948512664104429
2017-01-03 04:00:00,1023.95,1024.1,1017.42,1022.36,297.68,304065.26,1021.46,-0.16893046509583187
2017-01-03 05:00:00,1021.86,1027.93,1015.03,1018.8,328.93,336290.48,1022.38,-0.34821393638249337
2017-01-03 06:00:00,1018.65,1024.47,1011.5,1013.16,306.65,312550.26,1019.23,-0.5535924617196689
2017-01-03 07:00:00,1013.07,1019.37,1006.71,1019.37,220.81,223856.22,1013.81,0.6129337913064112
2017-01-03 08:00:00,1019.37,1019.8,1012.0,1012.02,170.57,173228.83,1015.58,-0.7210335795638505
2017-01-03 09:00:00,1012.03,1019.3,1010.0,1010.97,241.12,244286.68,1013.12,-0.10375289025908128
2017-01-03 10:00:00,1011.04,1016.99,1009.08,1014.94,246.35,249487.22,1012.74,0.39269216692879383
2017-01-03 11:00:00,1014.94,1023.95,1014.48,1019.82,260.29,265267.82,1019.11,0.48081659999605847
2017-01-03 12:00:00,1019.96,1025.75,1017.0,1018.8,259.03,264327.83,1020.44,-0.1000176501735694
2017-01-03 13:00:00,1018.94,1020.0,1013.5,1015.0,231.92,235878.92,1017.08,-0.3729878288182131
2017-01-03 14:00:00,1016.37,1019.0,1013.26,1014.34,301.33,306097.1,1015.81,-0.06502463054186879
2017-01-03 15:00:00,1013.65,1019.78,1010.3,1016.97,374.64,380495.12,1015.62,0.2592818975885793
2017-01-03 16:00:00,1016.97,1018.56,1015.78,1017.86,277.89,282695.74,1017.28,0.08751487261177678
2017-01-03 17:00:00,1017.79,1019.99,1016.8,1019.97,293.81,299244.83,1018.5,0.20729766372585756
2017-01-03 18:00:00,1019.98,1026.43,1018.76,1023.96,443.81,453945.19,1022.84,0.3911879761169455
2017-01-03 19:00:00,1023.96,1024.0,1014.0,1018.25,578.42,589840.39,1019.75,-0.5576389702722797
2017-01-03 20:00:00,1018.25,1027.83,1018.25,1025.82,488.17,499652.48,1023.52,0.7434323594402098
2017-01-03 21:00:00,1026.04,1028.51,1020.0,1024.46,565.01,579254.59,1025.2,-0.13257686533698895
2017-01-03 22:00:00,1024.33,1032.0,1022.86,1028.54,563.06,578408.86,1027.26,0.39825859477187264
2017-01-03 23:00:00,1027.85,1036.99,1018.18,1020.67,1066.23,1098791.9,1030.54,-0.765162268847104
2017-01-04 00:00:00,1020.69,1039.33,1018.0,1036.55,710.68,731555.27,1029.38,1.5558407712580946
2017-01-04 01:00:00,1036.78,1040.0,1036.77,1038.99,210.61,218884.84,1039.28,0.235396266460861
2017-01-04 02:00:00,1038.99,1047.99,1038.99,1041.57,787.4,821258.89,1043.01,0.248318078133565
2017-01-04 03:00:00,1041.4,1047.82,1041.19,1046.74,646.38,676121.55,1046.01,0.4963660627706321
2017-01-04 04:00:00,1046.41,1054.97,1045.05,1048.23,712.39,747772.03,1049.66,0.14234671456140102
2017-01-04 05:00:00,1048.21,1065.0,1047.25,1062.96,924.69,978443.15,1058.13,1.4052259523196262
2017-01-04 06:00:00,1062.85,1063.0,1055.65,1062.53,340.18,360947.86,1061.05,-0.040453074433662944
2017-01-04 07:00:00,1062.53,1065.0,1061.74,1062.92,271.12,288524.64,1064.19,0.03670484598082878
2017-01-04 08:00:00,1062.87,1065.0,1057.85,1060.01,198.06,210308.16,1061.85,-0.27377413163738396
2017-01-04 09:00:00,1060.0,1070.0,1058.09,1070.0,208.54,222050.16,1064.76,0.9424439392081216
2017-01-04 10:00:00,1070.0,1079.99,1069.99,1079.99,296.07,317705.98,1073.08,0.933644859813085
2017-01-04 11:00:00,1079.99,1090.0,1075.18,1084.62,429.93,466134.48,1084.22,0.42870767321918546
2017-01-04 12:00:00,1084.63,1096.68,1075.15,1094.91,477.72,521631.63,1091.91,0.9487193671516468
2017-01-04 13:00:00,1094.75,1095.71,1080.01,1094.99,748.85,816307.91,1090.08,0.007306536610308357
2017-01-04 14:00:00,1094.99,1095.66,1065.0,1089.41,829.34,900639.28,1085.97,-0.5095936949195816
2017-01-04 15:00:00,1089.41,1094.49,1085.51,1087.64,611.13,666314.68,1090.3,-0.16247326534546053
2017-01-04 16:00:00,1087.72,1107.75,1087.1,1103.58,817.24,897173.05,1097.81,1.4655584568423217
2017-01-04 17:00:00,1103.58,1138.0,1100.01,1137.0,1297.16,1454306.01,1121.15,3.028325993584523
2017-01-04 18:00:00,1136.63,1147.0,1131.09,1139.01,842.36,959439.17,1138.99,0.17678100263852164
2017-01-04 19:00:00,1139.01,1139.5,1110.01,1124.62,837.74,941268.96,1123.58,-1.2633778456730056
2017-01-04 20:00:00,1123.67,1136.5,1090.01,1090.04,1258.5,1408272.09,1119.01,-3.074816382422501
2017-01-04 21:00:00,1092.41,1110.0,1067.0,1090.72,1216.11,1330695.82,1094.22,0.06238303181535207
2017-01-04 22:00:00,1090.71,1136.14,1090.5,1136.1,743.16,828650.87,1115.03,4.160554496112648
2017-01-04 23:00:00,1135.01,1143.89,1120.34,1130.3,806.86,914873.23,1133.86,-0.5105184402781406
2017-01-05 00:00:00,1131.1,1134.88,1080.0,1090.57,1125.13,1251389.86,1112.22,-3.5149960187560843
2017-01-05 01:00:00,1090.89,1125.0,1076.12,1120.32,733.78,804184.99,1095.95,2.7279312653016317
2017-01-05 02:00:00,1121.21,1126.5,1110.0,1126.5,225.45,253020.89,1122.29,0.5516281062553613
2017-01-05 03:00:00,1126.5,1139.9,1125.86,1139.89,399.15,453367.83,1135.83,1.1886373723923747
2017-01-05 04:00:00,1139.88,1146.77,1139.01,1146.77,300.67,343552.13,1142.62,0.6035670108519139
2017-01-05 05:00:00,1146.77,1175.0,1146.77,1163.01,606.74,705133.1,1162.17,1.4161514514680371
2017-01-05 06:00:00,1163.01,1174.9,1150.0,1157.89,670.45,779580.74,1162.78,-0.440236971307202
