Timestamp,1_hr_PC,2_hr_PC,6_hr_PC,12_hr_PC,24_hr_PC
2017-01-03 17:00,0.391187976,-0.168632411,0.068629469,4.214829848,11.47386688
2017-01-03 18:00,-0.55763897,0.181647721,1.229540216,3.766748701,11.23579046
2017-01-03 19:00,0.743432359,0.609869875,2.036827891,4.386938375,10.44635404
2017-01-03 20:00,-0.132576865,0.265153731,1.53535708,3.332943401,6.260357568
2017-01-03 21:00,0.398258595,-0.369950999,2.174804287,4.445268727,6.467797669
2017-01-03 22:00,-0.765162269,0.778773796,1.91436405,5.002236179,10.45754176
2017-01-03 23:00,1.555840771,1.794899429,4.143356815,6.265492275,10.74098386
2017-01-04 00:00,0.235396266,0.484298876,2.506391395,5.630215619,5.211518981
2017-01-04 01:00,0.248318078,0.745916708,2.303198298,5.389849758,7.8277943
2017-01-04 02:00,0.496366063,0.639419338,1.770404294,4.593066237,8.154036695
2017-01-04 03:00,0.142346715,1.54957296,2.222137302,3.907369547,8.899058028
2017-01-04 04:00,1.405225952,1.364204421,3.029869399,5.280329699,9.400608645
2017-01-04 05:00,-0.040453074,-0.003763077,2.037706028,6.965454956,9.412395575
2017-01-04 06:00,0.036704846,-0.237169774,3.047443366,7.197914412,8.974805417
2017-01-04 07:00,-0.273774132,0.66608964,3.017160275,5.804764234,9.829526211
2017-01-04 08:00,0.942443939,1.884887878,2.77355874,2.832992142,7.641437345
2017-01-04 09:00,0.93364486,1.36635514,1.648598131,1.936448598,0.404672897
2017-01-04 10:00,0.428707673,1.381494273,2.184279484,5.195418476,1.196307373
2017-01-04 11:00,0.948719367,0.956095222,4.829341152,4.211613284,1.509284358
2017-01-04 12:00,0.007306537,-0.502324392,4.027728306,-0.396379611,-10.38350184
2017-01-04 13:00,-0.509593695,-0.671239007,2.705960785,2.313263135,-11.41471612
2017-01-04 14:00,-0.162473265,1.300704051,0.057829467,3.404595148,-11.87890693
2017-01-04 15:00,1.465558457,4.538266338,0.283181935,4.803979258,-8.472472509
2017-01-04 16:00,3.028325994,3.210460501,2.946773229,3.913626561,-12.39239566
2017-01-04 17:00,0.176781003,-1.088830255,-0.589270009,2.287598945,-14.07475814
2017-01-04 18:00,-1.263377846,-4.299347679,-4.252816042,1.657579828,-12.70138102
2017-01-04 19:00,-3.074816382,-3.014351514,-0.382351372,3.803951557,-13.72908182
2017-01-04 20:00,0.062383032,4.225533008,3.344831382,4.675975194,-10.55557594
2017-01-04 21:00,4.160554496,3.628795658,4.508031392,-1.502677131,-11.07983717
2017-01-04 22:00,-0.51051844,-4.007569756,0.939177889,-3.801601972,-10.65135111
2017-01-04 23:00,-3.514996019,-0.882951429,2.893921968,-2.593116872,-10.90860833
2017-01-05 00:00,2.727931265,3.294607407,6.172918749,-10.02686668,-6.122486406
2017-01-05 01:00,0.551628106,1.746822336,4.202370751,-13.41759497,-8.916202514
2017-01-05 02:00,1.188637372,1.799378606,1.288060364,-14.78029294,-14.58588549
2017-01-05 03:00,0.603567011,2.028265885,-5.751432156,-12.66788901,-13.85133653
2017-01-05 04:00,1.416151451,0.969680058,-4.696669777,-15.69189986,-14.90883089
2017-01-05 05:00,-0.440236971,0.377468809,-5.33271425,-15.99642307,-15.53125081
2017-01-05 06:00,0.821321542,-1.457824146,-15.25792606,-14.12483051,-15.06360708
2017-01-05 07:00,-2.260579065,-7.972417338,-16.90937125,-16.89052596,-15.79064588
2017-01-05 08:00,-5.843945277,-4.215563404,-15.86401521,-14.55114329,-15.82545289
2017-01-05 09:00,1.729449983,2.481546638,-7.338527268,-9.723269387,-13.13097465
2017-01-05 10:00,0.739310648,-10.21950572,-11.53708906,-7.120439926,-15.21625751
2017-01-05 11:00,-10.87839127,-11.89747409,-11.26440749,-8.536862278,-18.71588298
2017-01-05 12:00,-1.14347445,-2.162613889,1.337110944,4.33949573,-9.092762072
2017-01-05 13:00,-1.030927835,2.627835052,0.022680412,5.198969072,-6.597938144
2017-01-05 14:00,3.696875,0.710416667,1.560416667,0.228125,-5.279166667
2017-01-05 15:00,-2.879988749,-1.860390361,-2.573606967,-1.355111553,-7.871500467
2017-01-05 16:00,1.049833475,2.846445047,4.992656337,0.928818187,-6.323824497
2017-01-05 17:00,1.777946099,-0.690911696,3.073789369,0.55375293,-6.232535288
2017-01-05 18:00,-2.42572963,-1.947020134,2.962769274,-1.093187441,-11.01232979
2017-01-05 19:00,0.490610377,-0.036074292,5.175114922,1.323411185,-7.905423512
2017-01-05 20:00,-0.524113315,4.113930542,-1.311821781,-1.491312642,-9.130443701
2017-01-05 21:00,4.662480539,3.828348129,1.250683081,-3.774732696,-7.258704775
2017-01-05 22:00,-0.796973667,0.858051995,-3.870592755,-8.71646849,-12.53287886
2017-01-05 23:00,1.668321748,1.33366435,-2.444885799,-11.12909633,-11.05163853
2017-01-06 00:00,-0.329165853,-6.01777691,-3.939245946,-12.87360813,-12.66848994
2017-01-06 01:00,-5.707397862,-3.766059406,-3.662181629,-11.21390002,-13.9578413
2017-01-06 02:00,2.058844927,1.414481547,-0.18187676,-5.494756753,-11.25557322
2017-01-06 03:00,-0.631364562,0.038696538,-4.963340122,-6.605906314,-14.79124236
2017-01-06 04:00,0.674318508,0.786021726,-5.040992007,-7.18589875,-13.31932773
2017-01-06 05:00,0.110955028,0.06921965,-8.901850608,-6.748915898,-15.37286997
2017-01-06 06:00,-0.041689121,-2.341708441,-9.300741253,-10.02877566,-13.40966171
2017-01-06 07:00,-2.300978577,-5.065814904,-7.838789087,-9.108294509,-14.24735011
2017-01-06 08:00,-2.829952938,-3.522343926,-5.322560493,-7.75477906,-14.3663321
2017-01-06 09:00,-0.712555987,-4.107108416,-1.728350085,-3.620641622,-3.830658123
2017-01-06 10:00,-3.418914106,-3.735120493,-2.25877122,-4.180831202,-4.490562373
2017-01-06 11:00,-0.327399908,1.236968255,2.363313332,0.087157655,-1.750974937
2017-01-06 12:00,1.569506726,1.941704036,-0.802690583,0.235426009,-0.357623318
2017-01-06 13:00,0.366445916,1.228476821,-1.377483444,-3.090507726,-2.830022075
2017-01-06 14:00,0.858883561,-0.400299125,-2.568952624,-6.095763868,-1.372454142
2017-01-06 15:00,-1.248459869,-0.114487586,-1.925572165,-8.764297319,-2.741159923
2017-01-06 16:00,1.148308453,-2.301033478,-1.966478226,-6.60829432,-0.627153078
